@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
180,'2024/12/09 03:08:16:790',1,-11269,-5184,9721,-2659,12501,-2837,?,?,?
181,'2024/12/09 03:08:16:808',1,-12974,-5975,11780,-2312,7881,-3249,?,?,?
182,'2024/12/09 03:08:16:827',1,-12974,-5975,11780,-2312,7881,-3249,?,?,?
183,'2024/12/09 03:08:16:846',1,-12974,-5975,11780,-2312,7881,-3249,?,?,?
184,'2024/12/09 03:08:16:863',1,-12367,-6106,10808,-679,9400,-171,?,?,?
185,'2024/12/09 03:08:16:882',1,-12367,-6106,10808,-679,9400,-171,?,?,?
186,'2024/12/09 03:08:16:900',1,-12367,-6106,10808,-679,9400,-171,?,?,?
187,'2024/12/09 03:08:16:918',1,-11870,-5650,10089,830,6458,-286,?,?,?
188,'2024/12/09 03:08:16:935',1,-11870,-5650,10089,830,6458,-286,?,?,?
189,'2024/12/09 03:08:16:955',1,-11870,-5650,10089,830,6458,-286,?,?,?
190,'2024/12/09 03:08:16:973',1,-11901,-5146,8716,145,5360,-967,?,?,?
191,'2024/12/09 03:08:16:990',1,-11901,-5146,8716,145,5360,-967,?,?,?
192,'2024/12/09 03:08:17:008',1,-11901,-5146,8716,145,5360,-967,?,?,?
193,'2024/12/09 03:08:17:027',1,-13244,-5328,9501,-618,4964,-775,?,?,?
194,'2024/12/09 03:08:17:047',1,-13244,-5328,9501,-618,4964,-775,?,?,?
195,'2024/12/09 03:08:17:066',1,-13436,-5219,8935,363,4016,-81,?,?,?
196,'2024/12/09 03:08:17:086',1,-13436,-5219,8935,363,4016,-81,?,?,?
197,'2024/12/09 03:08:17:103',1,-13436,-5219,8935,363,4016,-81,?,?,?
198,'2024/12/09 03:08:17:123',1,-12749,-5104,8730,-323,3819,-319,?,?,?
199,'2024/12/09 03:08:17:141',1,-12749,-5104,8730,-323,3819,-319,?,?,?
200,'2024/12/09 03:08:17:159',1,-12749,-5104,8730,-323,3819,-319,?,?,?
201,'2024/12/09 03:08:17:176',1,-13708,-4936,9278,116,3010,-64,?,?,?
202,'2024/12/09 03:08:17:194',1,-13708,-4936,9278,116,3010,-64,?,?,?
203,'2024/12/09 03:08:17:211',1,-13708,-4936,9278,116,3010,-64,?,?,?
204,'2024/12/09 03:08:17:227',1,-13708,-4936,9278,116,3010,-64,?,?,?
205,'2024/12/09 03:08:17:245',1,-13346,-4883,8562,107,3686,795,?,?,?
206,'2024/12/09 03:08:17:266',1,-13346,-4883,8562,107,3686,795,?,?,?
207,'2024/12/09 03:08:17:282',1,-13869,-4723,8847,1490,2737,452,?,?,?
208,'2024/12/09 03:08:17:299',1,-13869,-4723,8847,1490,2737,452,?,?,?
209,'2024/12/09 03:08:17:318',1,-13869,-4723,8847,1490,2737,452,?,?,?
210,'2024/12/09 03:08:17:338',1,-13869,-4723,8847,1490,2737,452,?,?,?
211,'2024/12/09 03:08:17:355',1,-13186,-4606,9180,1355,4350,1676,?,?,?
212,'2024/12/09 03:08:17:374',1,-13186,-4606,9180,1355,4350,1676,?,?,?
213,'2024/12/09 03:08:17:392',1,-13186,-4606,9180,1355,4350,1676,?,?,?
